instruction,input,output,source_document,source_url,chunk_number,document_index,generated_by
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",protect myself from scams,https://www.fca.org.uk/consumers/protect-yourself-scams,1,0,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,protect myself from scams,https://www.fca.org.uk/consumers/protect-yourself-scams,1,0,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",protect myself from scams,https://www.fca.org.uk/consumers/protect-yourself-scams,1,0,gemini
"I gave out my personal details to what might be a scammer, what should I do?",,"If you've shared personal details, you need to act quickly to protect yourself. Contact your bank and any other financial institutions you use. Check your credit report for any unusual activity. You should also report the incident to the FCA and Action Fraud.",protect myself from scams,https://www.fca.org.uk/consumers/protect-yourself-scams,1,0,gemini
How can I tell if an investment opportunity is a scam?,,"Be wary of investment opportunities that promise high returns with little or no risk. Check the FCA Register to see if the firm is authorized. Scammers often use fake websites and materials that look genuine, so it's important to do your own research. If it sounds too good to be true, it probably is.",protect myself from scams,https://www.fca.org.uk/consumers/protect-yourself-scams,1,0,gemini
Who should I contact about a pension scam?,,"If you suspect a pension scam, you should report it to the FCA and Action Fraud. You can also get in touch with MoneyHelper for free and impartial guidance. It's important to report pension scams to help protect yourself and others.",protect myself from scams,https://www.fca.org.uk/consumers/protect-yourself-scams,1,0,gemini
"I feel embarrassed about being scammed, is this normal?",,"It's completely normal to feel embarrassed, but please remember that scammers are very sophisticated and can target anyone. You are not to blame. Reporting the scam is a crucial step in preventing others from falling victim. If you need support, you can contact Victim Support on 0808 16 89 111.",protect myself from scams,https://www.fca.org.uk/consumers/protect-yourself-scams,1,0,gemini
"I think I'm being scammed right now, what should I do?",,"If you suspect you're being scammed, stop all communication with the suspected scammer immediately. Do not provide any personal or financial information. If you've already shared information, contact your bank right away. You should report the scam to the FCA and Action Fraud. You can call the FCA consumer helpline on 0800 111 6768 and report to Action Fraud online or at 0300 123 2040.",avoid pension scams,https://www.fca.org.uk/consumers/pension-scams,1,1,gemini
"Someone is pressuring me to pay money urgently, is this legitimate?",,High-pressure sales tactics are a major red flag for scams. Legitimate financial institutions will not pressure you to make a decision on the spot. Be very wary of anyone who does. It's best to end the conversation and report the incident to the FCA and Action Fraud. Do not transfer any money.,avoid pension scams,https://www.fca.org.uk/consumers/pension-scams,1,1,gemini
"I paid money and now think it was a scam, can I get it back?",,"If you've paid a scammer, contact your bank immediately. Depending on how you paid, they may be able to help. You should also report the scam to the FCA and Action Fraud. While it's not always possible to recover lost funds, reporting it can help prevent others from becoming victims.",avoid pension scams,https://www.fca.org.uk/consumers/pension-scams,1,1,gemini
